id,elev,lat,lon
559,1276.62,-117.51503,34.284947
560,1281.45,-117.515677,34.285223
561,1288.01,-117.516012,34.285298
562,1285.93,-117.516052,34.285346
563,1289.21,-117.5161,34.285317
564,1290.42,-117.516185,34.285331
565,1296.5,-117.51686,34.285236
566,1301.46,-117.517398,34.285091
567,1300.93,-117.517493,34.285124
568,1300.8,-117.517482,34.285171
569,1305.01,-117.517304,34.285454
570,1314.73,-117.517235,34.285643
571,1312.83,-117.517068,34.285749
572,1316.95,-117.517045,34.285827
573,1315.74,-117.516982,34.285854
574,1309.66,-117.516746,34.285838
575,1311.61,-117.516634,34.285873
576,1314.84,-117.516531,34.285926
577,1323.64,-117.516432,34.286038
578,1316.98,-117.516147,34.286005
579,1318.02,-117.515909,34.28608
580,1334.4,-117.515784,34.286312
581,1336.55,-117.515667,34.286388
582,1326.46,-117.515331,34.286315
583,1328.23,-117.515026,34.286332
584,1323.26,-117.514818,34.286278
585,1325.15,-117.514588,34.286314
586,1321.92,-117.514025,34.286331
587,1324.97,-117.513944,34.286391
588,1333.41,-117.513825,34.286599
589,1336.96,-117.513619,34.286863
590,1337.3,-117.51327,34.287002
591,1337.71,-117.513182,34.287076
592,1337.59,-117.513122,34.287294
593,1337.84,-117.513136,34.28739
594,1341.18,-117.513241,34.287553
595,1350.18,-117.513505,34.287783
596,1352.15,-117.513545,34.28785
597,1349.04,-117.513533,34.28806
598,1352.38,-117.513603,34.288246
599,1346.81,-117.513475,34.288431
600,1345.91,-117.513394,34.28863
601,1346.05,-117.513471,34.288696
602,1347.74,-117.513707,34.288687
603,1349.02,-117.514394,34.288833
604,1348.38,-117.514647,34.288811
605,1351.38,-117.515291,34.288561
606,1350.07,-117.515466,34.288541
607,1358.21,-117.515881,34.288304
608,1359.53,-117.516105,34.288245
609,1366.84,-117.516462,34.28806
610,1368.8,-117.516632,34.288011
611,1369.85,-117.51682,34.288003
612,1364.05,-117.516708,34.2882
613,1364.96,-117.516693,34.288302
614,1370.45,-117.51676,34.288473
615,1367.91,-117.516668,34.288562
616,1368.89,-117.516423,34.28913
617,1371.91,-117.516379,34.289349
618,1374.33,-117.516419,34.289592
619,1374.52,-117.516639,34.289981
620,1381.16,-117.516977,34.290141
621,1384.13,-117.5176,34.290172
622,1385.36,-117.517772,34.290141
623,1390.7,-117.518021,34.290029
624,1388.66,-117.518464,34.290038
625,1391.82,-117.51883,34.28991
626,1400.8,-117.519029,34.289759
627,1402.26,-117.519136,34.289732
628,1402.11,-117.519506,34.289919
629,1400.96,-117.519658,34.289963
630,1397.74,-117.520048,34.289955
631,1399.98,-117.520765,34.289708
632,1403.63,-117.521083,34.289539
633,1416.39,-117.521252,34.28936
634,1413.62,-117.521455,34.289395
635,1412.46,-117.521594,34.289386
636,1420.81,-117.522522,34.289225
637,1419.57,-117.522519,34.289341
638,1419.03,-117.522424,34.289479
639,1409.94,-117.522105,34.289725
640,1414.94,-117.522143,34.28989
641,1416.88,-117.522105,34.290016
642,1414.71,-117.521895,34.290149
643,1418.71,-117.521807,34.290364
644,1430.41,-117.521713,34.291018
645,1423.84,-117.521518,34.291163
646,1424.77,-117.521499,34.291245
647,1429.33,-117.52153,34.291423
648,1431.62,-117.521497,34.291795
649,1434.79,-117.521565,34.292001
650,1437.4,-117.521705,34.292197
651,1440.19,-117.522022,34.292281
652,1441.38,-117.522074,34.292262
653,1441.14,-117.521735,34.291815
654,1451,-117.521974,34.291332
655,1453.06,-117.522298,34.290853
656,1457.15,-117.522511,34.290701
657,1458.43,-117.522783,34.290441
658,1462.84,-117.522988,34.290319
659,1462.57,-117.523082,34.290138
660,1465.93,-117.523244,34.289989
661,1473.32,-117.523616,34.289784
662,1473.16,-117.523708,34.289698
663,1474.52,-117.523882,34.289602
664,1472.69,-117.523932,34.289522
665,1476.4,-117.524118,34.289477
666,1473.2,-117.524256,34.28931
667,1483.75,-117.524558,34.289288
668,1487.82,-117.52472,34.289237
669,1488.14,-117.52475,34.289217
670,1476.87,-117.524714,34.289023
671,1476.22,-117.524733,34.288984
672,1490.83,-117.524999,34.288876
673,1493.17,-117.525016,34.288807
674,1493.74,-117.524818,34.288631
675,1491.02,-117.524371,34.288447
676,1490.21,-117.524138,34.288389
677,1497.71,-117.523783,34.287941
678,1500.6,-117.524035,34.287964
679,1501.27,-117.524154,34.287992
680,1502.3,-117.524407,34.288111
681,1513.14,-117.525037,34.288309
682,1515.31,-117.525222,34.288452
683,1526.16,-117.525566,34.288602
684,1527.73,-117.525631,34.288667
685,1530.78,-117.52567,34.289129
686,1531.94,-117.525529,34.289482
687,1536.27,-117.525458,34.289896
688,1535.65,-117.525367,34.290022
689,1537.35,-117.525401,34.29008
690,1534.92,-117.52536,34.29029
691,1537.63,-117.525753,34.290349
692,1538.53,-117.526209,34.290469
693,1543.29,-117.526457,34.290453
694,1551.17,-117.527035,34.290546
695,1552.31,-117.527159,34.290623
696,1554.21,-117.527266,34.290651
697,1555.46,-117.527388,34.290739
698,1557.54,-117.527489,34.290774
699,1557.71,-117.52784,34.291163
700,1559.32,-117.527944,34.291207
701,1559.6,-117.528124,34.291383
702,1567.73,-117.528601,34.291585
703,1568.82,-117.528765,34.29173
704,1573.52,-117.528986,34.29185
705,1579.6,-117.52919,34.292033
706,1579.75,-117.529219,34.292088
707,1578.48,-117.52921,34.292242
708,1576.16,-117.529103,34.292356
709,1576.65,-117.52907,34.292515
710,1577.69,-117.529095,34.292608
711,1580.88,-117.529203,34.292734
712,1582.15,-117.529215,34.292838
713,1583.58,-117.529311,34.292797
714,1584.4,-117.529341,34.292818
715,1584.96,-117.529338,34.292859
716,1584.33,-117.529236,34.292978
717,1586.83,-117.52907,34.293367
718,1591.07,-117.529101,34.293645
719,1591.54,-117.529205,34.293766
720,1591.58,-117.529575,34.293812
721,1589.54,-117.529903,34.293748
722,1588.97,-117.530085,34.293653
723,1585.03,-117.530263,34.293629
724,1585.14,-117.530338,34.293577
725,1592.25,-117.530475,34.293395
726,1596.42,-117.53067,34.29327
727,1600.12,-117.531039,34.293147
728,1603.07,-117.531752,34.293083
729,1600.97,-117.531857,34.293128
730,1601.58,-117.53213,34.293167
731,1606.74,-117.532532,34.293134
732,1606.84,-117.533148,34.293233
733,1612,-117.533693,34.293183
734,1608.52,-117.533979,34.293266
735,1609.38,-117.534253,34.293213
736,1612.32,-117.534436,34.29309
