DBA,BORO,ZIPCODE,CUISINECODE,INSPDATE,ACTION,VIOLCODE,SCORE,CURRENTGRADE
BAR RIQUE,3,10023,3,2014-02-25 00:00:00,D,08A,11,A
JAC MAO CHINESE CUISINE,5,10305,20,2014-02-25 00:00:00,D,10H,11,A
KINGS LONG WONG BAKERY,3,11223,20,2014-02-25 00:00:00,D,02B,13,A
THE DART INN,4,11432,3,2014-02-25 00:00:00,F,04A,29,
HUNTER'S STEAK & ALE HOUSE,3,11209,78,2014-02-25 00:00:00,F,04H,32,
HUNTER'S STEAK & ALE HOUSE,3,11209,78,2014-02-25 00:00:00,F,08A,32,
HUNTER'S STEAK & ALE HOUSE,3,11209,78,2014-02-25 00:00:00,F,10B,32,
EL LINA RESTAURANT,1,10034,77,2014-02-25 00:00:00,F,08B,32,
THE DART INN,4,11432,3,2014-02-25 00:00:00,F,04L,29,
THE DART INN,4,11432,3,2014-02-25 00:00:00,F,10F,29,
PELHAM BAY DINER,2,10469,3,2014-02-25 00:00:00,P,02G,19,
HUNTER'S STEAK & ALE HOUSE,3,11209,78,2014-02-25 00:00:00,F,02G,32,
